method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
green,110.33572724174935,118.03208789626648,-0.23937664072815315,110.23292717364697,-12.78406402072104,38
chrom,45.214656078772634,47.55313857467259,0.22691433800631353,23.53261551288037,-3.293915145036457,38
pos,110.59769314397745,118.31232773308854,-0.3486126855403268,110.44349304182388,-24.427972433545435,38
