sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject39_vid_eed2a37c,train,green,single_forehead,1.6876345903445513,2.1597294464802212,0.4459615567019582,-1.5376285650791266,-1.9506255337784573,39
ubfc_d2_subject39_vid_eed2a37c,train,green,single_left_cheek,1.9439697265625,2.4515381177194597,0.3420699514670564,-1.7939637012970753,2.4375925723112952,39
ubfc_d2_subject39_vid_eed2a37c,train,green,single_right_cheek,1.5851012009840746,1.9853816083529752,0.4822535121176632,-1.4350951757186499,2.756121180802436,39
ubfc_d2_subject39_vid_eed2a37c,train,green,average_fusion,1.687634981595553,2.087331543411133,0.458368146262246,-1.5376289563301282,3.7455921941744474,39
ubfc_d2_subject39_vid_eed2a37c,train,green,quality_weighted_fusion,1.687634981595553,2.087331543411133,0.458368146262246,-1.5376289563301282,4.348344722903394,39
ubfc_d2_subject39_vid_eed2a37c,train,green,signal_extraction_baseline,1.6882422031500401,2.0878559780326813,0.4583681462651379,-1.5383472931690705,3.7455921716687253,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,single_forehead,39.78276032667894,39.86672702138723,-0.49346673655194173,-39.78276032667894,-13.273023262723616,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,single_left_cheek,36.50167768429487,36.694146103633294,0.24538959501203766,-36.50167768429487,-11.514268942793782,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,single_right_cheek,34.707334860777245,34.98252545778501,-0.38563878851618993,-34.707334860777245,-11.80465176658959,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,average_fusion,38.962489397097855,39.053128063960685,-0.1396933511939235,-38.962489397097855,-10.741253450998746,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,quality_weighted_fusion,39.42389170328776,39.50489273390083,-0.29697718829698233,-39.42389170328776,-11.115540327901478,39
ubfc_d2_subject39_vid_eed2a37c,train,chrom,signal_extraction_baseline,38.962889842497994,39.05352645058975,-0.13969320720685738,-38.962889842497994,-10.741253427959228,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,single_forehead,1.9439697265625,2.4929995708281414,0.32958019968811825,-1.7939637012970753,4.114704589063277,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,single_left_cheek,1.6888897235576923,2.087932400571318,0.5208043915594452,-1.588895748823117,3.7669516566796943,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,single_right_cheek,1.5338342128655849,1.9587334636564848,0.483448161424933,-1.3838281876001604,3.8117138375315207,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,average_fusion,1.687634981595553,2.087331543411133,0.458368146262246,-1.5376289563301282,5.231361622919536,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,quality_weighted_fusion,1.7389019697140424,2.1364901819326474,0.42927687534502695,-1.5888959444486177,5.09756358640673,39
ubfc_d2_subject39_vid_eed2a37c,train,pos,signal_extraction_baseline,1.6882422031500401,2.0878559780326813,0.4583681462651379,-1.5383472931690705,5.231361647273571,39
