method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
green,3.1035122904115418,3.600019982217636,0.6469412901327886,-2.7228469759083365,-0.46831275975261644,39
chrom,69.8342008256617,70.1835346828757,-0.6188455200783831,-69.8342008256617,-12.065414347536105,39
pos,2.8017687585731004,3.5050931320920045,0.5651251132820208,-2.414996015934879,1.3136643161097683,39
