split,method,strategy,mae_bpm_mean,mae_bpm_std,rmse_bpm_mean,rmse_bpm_std,pearson_r_mean,pearson_r_std,bias_bpm_mean,bias_bpm_std,snr_db_mean,snr_db_std,n_windows
test,chrom,average_fusion,48.66392753312978,11.522303059362596,48.80968965665172,11.501393017952166,-0.2837321459823238,0.3481787551934157,-48.66392753312978,11.522303059362596,-12.494727547057938,1.6305326664500879,206
test,chrom,quality_weighted_fusion,48.321148658455016,11.280725709858833,48.48287640726063,11.281559253396416,-0.3194101328807396,0.29687469709174,-48.321148658455016,11.280725709858833,-12.593004342053591,1.773774971509932,206
test,chrom,signal_extraction_baseline,48.66366052329123,11.52255554699214,48.809423770878254,11.501647083821412,-0.28373217276066376,0.34817876416386123,-48.66366052329123,11.52255554699214,-12.494727554011217,1.630532676423248,206
test,chrom,single_forehead,46.06224489350693,10.235804146911558,46.22569884086073,10.170587430578495,0.14810294387500686,0.3691410484860432,-46.06224489350693,10.235804146911558,-13.34334920097323,1.1291556825344344,206
test,chrom,single_left_cheek,46.87698450588492,10.03130452001278,47.10327515200875,9.951189048948468,-0.017191099568777634,0.4301591454905106,-46.87698450588492,10.03130452001278,-13.587372550285966,1.7228471661771816,206
test,chrom,single_right_cheek,47.90803223907321,11.446681155302088,48.037595167386534,11.400536280817398,0.12256083776254878,0.3890300689950201,-47.90803223907321,11.446681155302088,-12.939721362039558,1.9356100976649122,206
test,green,average_fusion,10.2437196923259,13.062636406542875,12.091018865864228,13.326644606063157,0.51919822857503,0.3013234037287695,-9.796644993074601,13.290691488186209,-2.480896624167683,4.0701179836177435,206
test,green,quality_weighted_fusion,11.686995886848155,12.477043263532348,15.59432283869926,12.575579546232111,0.4072549463912128,0.25823083283172793,-11.290917827450887,12.727693343586083,-2.454500905226689,4.234342990615933,206
test,green,signal_extraction_baseline,10.24373318158809,13.062680277309761,12.090976789063442,13.326700117941682,0.519198149990367,0.30132362783508976,-9.796149848186376,13.291044902009507,-2.480896622902307,4.070117984578933,206
test,green,single_forehead,14.349175997727196,11.71708224375542,18.917624466298047,12.240762701139552,0.2370021464574016,0.3286420003573881,-13.917756766399725,12.006629765319357,-5.017506981893815,2.200154855086421,206
test,green,single_left_cheek,13.816728297120836,12.384392833251827,17.821756154430098,13.323111900498008,0.3476445351594144,0.258526729182276,-13.48767559312898,12.566186615771189,-3.6271125611220123,3.8897756597772437,206
test,green,single_right_cheek,15.679355309580387,13.516294216891051,19.27955081412623,14.88054050953084,0.1563238373022792,0.5055342372268252,-14.482569252899816,13.34511598901918,-3.502757471933498,4.333152012780184,206
test,pos,average_fusion,1.6631689277625419,0.5788045952870112,2.115389543186733,0.7114570272947994,0.46691155155358127,0.289489799189359,-1.0758643965298238,0.6339945968293986,2.0563826487054766,0.7112046872476424,206
test,pos,quality_weighted_fusion,1.642081565449947,0.5598633188748532,2.1034689536047257,0.7012372748616665,0.46567827793595684,0.2872856468997282,-1.04456240956779,0.603368689170851,2.855843592665793,1.10667420749706,206
test,pos,signal_extraction_baseline,1.6632324027204077,0.5788926922161767,2.1153740811585937,0.7113643039454051,0.46691146875471895,0.2894900740256518,-1.075379004728693,0.6346079481346819,2.056382651984952,0.711204693452757,206
test,pos,single_forehead,1.795678029958721,0.6732677949428745,2.3268947787065932,0.8674829245933431,0.4230970890487592,0.2607658605827086,-1.1756833884500701,0.8054929464761261,0.9211740030579223,2.7249932231478464,206
test,pos,single_left_cheek,3.232055660313173,3.2396035528653475,5.450659204841829,6.638949200058218,0.41473396433236687,0.3132859148250642,-2.777020087453512,3.115959296067054,-0.3429736999752751,1.5274414507278873,206
test,pos,single_right_cheek,2.7916171602146136,1.704875308353166,5.161261867420057,5.380648295747749,0.36877845529799624,0.29976265931261753,-2.2146736268086817,2.0485800192124235,0.8791170674958069,2.3064098118798473,206
train,chrom,average_fusion,46.78847481754951,18.29851171585968,47.760285903973546,17.623767067511967,-0.0032558212293996537,0.4250150333319435,-43.90660419541392,21.446531039800806,-11.835601469847871,2.9969759736753434,1468
train,chrom,quality_weighted_fusion,47.17083592224282,18.217330315049896,47.984360009151565,17.75344844823536,0.04767234480592982,0.39576843429598263,-44.281486883978246,21.37509897003563,-11.97269552976042,2.946783821414151,1468
train,chrom,signal_extraction_baseline,46.788489438900434,18.298493399517668,47.76030828394438,17.62375227240401,-0.0032558294688810655,0.4250150066457156,-43.906670239079354,21.446432113756483,-11.835601458753521,2.996975964116852,1468
