method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
green,2.091991106669108,2.6679789848622972,0.6906411121496516,-1.8427642186482747,0.5970280698900264,24
chrom,62.504119555155434,62.6306385375558,-0.4304736639884822,-62.504119555155434,-12.512997047843346,24
pos,2.091991106669108,2.6679789848622972,0.6906411121496516,-1.8427642186482747,1.2134978273842656,24
