sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject44_vid_66b401c5,train,green,single_forehead,7.41082050925807,10.485899450429006,0.39246936956135975,-5.851883436504163,-7.9978747440559195,38
ubfc_d2_subject44_vid_66b401c5,train,green,single_left_cheek,5.295551902369449,6.474386041139259,-0.09561614248200288,-0.3281615407843339,-2.0540772509412135,38
ubfc_d2_subject44_vid_66b401c5,train,green,single_right_cheek,6.125378859670539,6.912355304816381,-0.2364435918533471,0.040086645829050166,-3.0081788090368553,38
ubfc_d2_subject44_vid_66b401c5,train,green,average_fusion,5.242549896240234,6.568343063477178,-0.04582972557768153,-1.222478565416838,-2.097159195277053,38
ubfc_d2_subject44_vid_66b401c5,train,green,quality_weighted_fusion,5.346009505422492,6.580361597463144,-0.09407891654256376,-0.5385890759919819,-1.6592986343682252,38
ubfc_d2_subject44_vid_66b401c5,train,green,signal_extraction_baseline,5.242535038998253,6.5683297780081285,-0.04582965319105459,-1.2223914297003495,-2.0971591975570316,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,single_forehead,35.153910988255554,35.67098164319241,-0.39847853316267373,-35.153910988255554,-16.008181299461665,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,single_left_cheek,32.36574614675421,32.521618695998086,0.5823349016439907,-32.36574614675421,-19.822852671952557,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,single_right_cheek,35.94301424528423,36.418747520264326,-0.5394988217805492,-35.94301424528423,-11.812760157683929,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,average_fusion,36.73211750231291,37.26593186239807,-0.5349558219453322,-36.73211750231291,-13.263688898599835,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,quality_weighted_fusion,36.52168996710526,37.02220982401212,-0.4551341137280524,-36.52168996710526,-13.159710811217822,38
ubfc_d2_subject44_vid_66b401c5,train,chrom,signal_extraction_baseline,36.732070320530944,37.26588580335776,-0.5349558372370465,-36.732070320530944,-13.263688888383808,38
ubfc_d2_subject44_vid_66b401c5,train,pos,single_forehead,5.0806529396458675,6.29395636078679,0.050202565194267704,-0.4859821921900699,-1.855846642498484,38
ubfc_d2_subject44_vid_66b401c5,train,pos,single_left_cheek,5.447122272692229,6.498678499613926,-0.07310079810685395,-0.3281615407843339,-1.3491901131493298,38
ubfc_d2_subject44_vid_66b401c5,train,pos,single_right_cheek,6.074353268271999,6.967981083013518,-0.18055257449211906,-0.4333753083881579,-1.7102093981277364,38
ubfc_d2_subject44_vid_66b401c5,train,pos,average_fusion,5.602818338494552,6.666754874995168,-0.08634070504436392,-0.3807684245862459,-1.2078369503211572,38
ubfc_d2_subject44_vid_66b401c5,train,pos,quality_weighted_fusion,5.446949406674034,6.572613953976842,-0.04350720205956798,-0.5911959597938939,-1.3022406006308629,38
ubfc_d2_subject44_vid_66b401c5,train,pos,signal_extraction_baseline,5.602821952418277,6.666753039045803,-0.08634068115558242,-0.3806804857755962,-1.2078369387624879,38
