sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d1_10-gt_vid_3440368f,train,green,single_forehead,2.9148418719951925,3.7538746543193704,-0.24904882343768697,-2.603374774639423,-1.9324855595739825,13
ubfc_d1_10-gt_vid_3440368f,train,green,single_left_cheek,3.070575420673077,3.8748944216345986,-0.48030844520125354,-2.603374774639423,2.8111325761498787,13
ubfc_d1_10-gt_vid_3440368f,train,green,single_right_cheek,3.072436992938702,3.8753748913187263,-0.5846128222154677,-2.4495027982271633,-4.008248461321821,13
ubfc_d1_10-gt_vid_3440368f,train,green,average_fusion,3.070575420673077,3.8748944216345986,-0.48030844520125354,-2.603374774639423,1.471947949799732,13
ubfc_d1_10-gt_vid_3440368f,train,green,quality_weighted_fusion,3.070575420673077,3.8748944216345986,-0.48030844520125354,-2.603374774639423,1.5779242428555451,13
ubfc_d1_10-gt_vid_3440368f,train,green,signal_extraction_baseline,3.0702767005333533,3.874516511176002,-0.48030844520125354,-2.6028049175555887,1.471947966301594,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,single_forehead,16.144145085261417,16.219461173022786,0.8820310096755868,-16.144145085261417,-11.138236263579646,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,single_left_cheek,24.607126382681038,25.101007788401958,-0.3031325744820944,-24.607126382681038,-11.878994921187791,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,single_right_cheek,15.990272815410908,16.323574980662784,-0.8820310096755868,-15.990272815410908,-6.958053628739107,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,average_fusion,18.606103750375603,18.90772367756996,-0.5702774876416423,-18.606103750375603,-8.732737210545011,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,quality_weighted_fusion,16.605762481689453,16.714444178407756,0.5953833425895552,-16.605762481689453,-9.209019745995409,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,signal_extraction_baseline,18.605658311110275,18.907286991852487,-0.5702772273948973,-18.605658311110275,-8.732737207273875,13
ubfc_d1_10-gt_vid_3440368f,train,pos,single_forehead,3.072436992938702,3.8753748913187263,-0.5846128222154677,-2.4495027982271633,5.451993996915958,13
ubfc_d1_10-gt_vid_3440368f,train,pos,single_left_cheek,3.070575420673077,3.8748944216345986,-0.48030844520125354,-2.603374774639423,5.468271532318674,13
ubfc_d1_10-gt_vid_3440368f,train,pos,single_right_cheek,3.072436992938702,3.8753748913187263,-0.5846128222154677,-2.4495027982271633,5.04840525732819,13
ubfc_d1_10-gt_vid_3440368f,train,pos,average_fusion,3.070575420673077,3.8748944216345986,-0.48030844520125354,-2.603374774639423,6.198693716062063,13
ubfc_d1_10-gt_vid_3440368f,train,pos,quality_weighted_fusion,3.070575420673077,3.8748944216345986,-0.48030844520125354,-2.603374774639423,6.114286374801584,13
ubfc_d1_10-gt_vid_3440368f,train,pos,signal_extraction_baseline,3.0702767005333533,3.874516511176002,-0.48030844520125354,-2.6028049175555887,6.1986937196473955,13
