method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
green,6.694989442654,7.9190194918160115,-0.21901515939653587,-2.084860229713478,-4.6229230212874395,39
chrom,24.9608051986951,25.2964060798023,-0.2762196492533082,-24.9608051986951,-11.026296687680526,39
pos,5.102909106303339,6.470144013207301,-0.07861079296469815,-2.8542289149223117,-1.9597625776178322,39
