sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject33_vid_44aee0f1,train,green,single_forehead,19.17004443437625,29.561144023409994,0.6533747943940224,-18.013540903727215,-5.703853854984615,39
ubfc_d2_subject33_vid_44aee0f1,train,green,single_left_cheek,2.8988620073367386,3.4586074653720322,0.5982746536333372,-2.518533951196915,-1.5292501436517045,39
ubfc_d2_subject33_vid_44aee0f1,train,green,single_right_cheek,3.411941332694812,4.013919837448659,0.6234778265655675,-3.031613276554988,-0.4550647072336061,39
ubfc_d2_subject33_vid_44aee0f1,train,green,average_fusion,3.104093502729367,3.600708163646128,0.6469412266956988,-2.7237654465895433,-0.46831277389507187,39
ubfc_d2_subject33_vid_44aee0f1,train,green,quality_weighted_fusion,3.001477755033053,3.5448763013825797,0.615543166751586,-2.621149698893229,-0.11851775329399708,39
ubfc_d2_subject33_vid_44aee0f1,train,green,signal_extraction_baseline,3.1035122993664865,3.600020020882234,0.6469412653560357,-2.7228469848632812,-0.4683127556129507,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,single_forehead,72.65652426695212,72.6964652144776,0.5761116817263624,-72.65652426695212,-16.345328381427166,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,single_left_cheek,71.93821383745242,72.0172823889607,0.2537439291533384,-71.93821383745242,-16.23544773428892,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,single_right_cheek,67.78226891542093,67.84066098218761,0.6293745769723694,-67.78226891542093,-12.771802306130251,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,average_fusion,69.83458758623172,70.18391575827671,-0.6188455247853437,-69.83458758623172,-12.065414395168636,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,quality_weighted_fusion,69.98851189246544,70.26118237865138,-0.505052307440097,-69.98851189246544,-12.031165591477727,39
ubfc_d2_subject33_vid_44aee0f1,train,chrom,signal_extraction_baseline,69.83420083461664,70.18353466944237,-0.6188454423966337,-69.83420083461664,-12.065414347607739,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,single_forehead,2.853514646872496,3.7967353847295637,0.516643045419613,-2.6724581596178885,0.4432405560780155,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,single_left_cheek,2.648334405361078,3.2970784630385723,0.5756795729641737,-2.261994386330629,0.6196078267304999,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,single_right_cheek,2.9561820397010217,3.645702736374615,0.5888480693972817,-2.5698420206705728,1.0430195830388929,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,average_fusion,2.8022584181565504,3.505721267769698,0.5651254588219726,-2.415918399126102,1.3136643397266332,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,quality_weighted_fusion,2.750950348682893,3.432647373155126,0.5867974490609296,-2.364610329652444,1.2040175121872478,39
ubfc_d2_subject33_vid_44aee0f1,train,pos,signal_extraction_baseline,2.8017687675280447,3.505093122530241,0.5651251062129312,-2.414996024889824,1.313664337074782,39
