sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject27_vid_96005bba,train,green,single_forehead,14.91603696346283,19.672286425658527,0.6647822990826413,-13.230335593223572,-5.701539046624536,32
ubfc_d2_subject27_vid_96005bba,train,green,single_left_cheek,19.166489362716675,23.625620810591304,0.9063801496693102,-18.792398691177368,-4.486157945893321,32
ubfc_d2_subject27_vid_96005bba,train,green,single_right_cheek,21.666728973388672,25.408119621315247,0.8663328362691947,-21.604678630828857,-6.062620177299864,32
ubfc_d2_subject27_vid_96005bba,train,green,average_fusion,17.479556441307068,21.34932504919547,0.8901129825114256,-17.417506098747253,-4.1566092783281245,32
ubfc_d2_subject27_vid_96005bba,train,green,quality_weighted_fusion,17.791142225265503,21.941118853452668,0.8986603959741839,-17.355011224746704,-4.453794956681322,32
ubfc_d2_subject27_vid_96005bba,train,green,signal_extraction_baseline,17.47961127758026,21.34936575556251,0.8901129634507181,-17.41756570339203,-4.156609255914716,32
ubfc_d2_subject27_vid_96005bba,train,chrom,single_forehead,39.54077589511871,39.97636248180578,0.09757336917833184,-39.54077589511871,-12.06180709738452,32
ubfc_d2_subject27_vid_96005bba,train,chrom,single_left_cheek,44.54038488864899,45.08752953899067,-0.7478510028913842,-44.54038488864899,-13.292899129184866,32
ubfc_d2_subject27_vid_96005bba,train,chrom,single_right_cheek,44.54038488864899,45.08752953899067,-0.7478510028913842,-44.54038488864899,-15.62786967390916,32
ubfc_d2_subject27_vid_96005bba,train,chrom,average_fusion,44.165414214134216,44.77593966333191,-0.8465362477433402,-44.165414214134216,-13.051400812470673,32
ubfc_d2_subject27_vid_96005bba,train,chrom,quality_weighted_fusion,44.54038488864899,45.08752953899067,-0.7478510028913842,-44.54038488864899,-13.708045002065127,32
ubfc_d2_subject27_vid_96005bba,train,chrom,signal_extraction_baseline,44.16545236110687,44.77597729016634,-0.8465362477433402,-44.16545236110687,-13.051400811136615,32
ubfc_d2_subject27_vid_96005bba,train,pos,single_forehead,3.6532678604125977,4.801622107683309,0.7493021369799963,-2.481175422668457,-3.5796643535158807,32
ubfc_d2_subject27_vid_96005bba,train,pos,single_left_cheek,4.58984899520874,5.961137961655165,0.4643512276071043,-2.7311553955078125,-3.1044273646254523,32
ubfc_d2_subject27_vid_96005bba,train,pos,single_right_cheek,4.152803421020508,5.639931941945107,0.5481167192390398,-2.7936511039733887,-2.4906068616054045,32
ubfc_d2_subject27_vid_96005bba,train,pos,average_fusion,4.214878082275391,5.650926663870346,0.536926920601894,-2.7311558723449707,-2.2371755088050076,32
ubfc_d2_subject27_vid_96005bba,train,pos,quality_weighted_fusion,3.902402400970459,5.067503966839155,0.6761010333136135,-2.418680191040039,-2.2386274555136443,32
ubfc_d2_subject27_vid_96005bba,train,pos,signal_extraction_baseline,4.214897394180298,5.650962470902623,0.5369265997157093,-2.7312281131744385,-2.23717549414189,32
