method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
green,4.08570560526551,4.325585760490629,0.9405963196997207,-4.08570560526551,-5.884640624431875,39
chrom,44.15384050000334,44.537209928272,-0.04049481661809677,-44.15384050000334,-11.539733833028311,39
pos,3.730787932301267,4.0729185798383085,0.9112873641616365,-3.675276457691892,-1.2272833582918308,39
