sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject43_vid_db0cb8aa,train,green,single_forehead,16.762444911858974,21.282925294539442,0.21436386070979344,-16.548487736628605,-5.404887260234171,39
ubfc_d2_subject43_vid_db0cb8aa,train,green,single_left_cheek,26.188150259164665,31.51063372836989,-0.19109686823063285,-25.576883560571915,-6.496818265746401,39
ubfc_d2_subject43_vid_db0cb8aa,train,green,single_right_cheek,2.7086574847881613,3.560367359396177,-0.1331270955964226,-0.49230624467898637,-3.228797363985861,39
ubfc_d2_subject43_vid_db0cb8aa,train,green,average_fusion,8.341073451898037,15.355454431189875,0.39692210399220745,-7.571389614007412,-3.7898068390426998,39
ubfc_d2_subject43_vid_db0cb8aa,train,green,quality_weighted_fusion,3.375511951935597,4.808758690585914,-0.4914558461957563,-0.8000924526116787,-3.5015135823639016,39
ubfc_d2_subject43_vid_db0cb8aa,train,green,signal_extraction_baseline,8.341209411621094,15.35559915669446,0.39692206692322124,-7.571793580666567,-3.7898068282842705,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,single_forehead,50.353675744472405,50.53862836393571,-0.22371476856408729,-50.353675744472405,-11.725348629848988,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,single_left_cheek,51.17443896562625,51.24163479399526,0.4014413583189528,-51.17443896562625,-12.947384347665878,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,single_right_cheek,51.687415978847405,51.96978401241152,-0.40583810716430124,-51.687415978847405,-12.196790661789938,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,average_fusion,52.6620723039676,52.785366082190635,0.08607956403168641,-52.6620723039676,-11.682217837549851,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,quality_weighted_fusion,50.40497344579452,50.47595723192069,0.46655265025215165,-50.40497344579452,-12.025137851903153,39
ubfc_d2_subject43_vid_db0cb8aa,train,chrom,signal_extraction_baseline,52.662272135416664,52.78556488504494,0.08607968267367626,-52.662272135416664,-11.682217925954177,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,single_forehead,3.5953089396158853,5.028359214839559,-0.42519441738200264,-1.3130694658328326,1.501432310539005,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,single_left_cheek,3.491226391914563,4.882527270153428,-0.325295366756029,-1.4669625697991786,1.0023908705315439,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,single_right_cheek,3.1879798693534656,4.259926109654049,-0.2357606391405746,-0.5436039460011017,1.1106401252009,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,average_fusion,3.6466066409380007,5.019048896228524,-0.4148912883727917,-1.1591763618664863,1.9078132635392269,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,quality_weighted_fusion,3.5953089396158853,4.905624562980039,-0.3909320010542191,-1.107878660544371,1.8645359418504948,39
ubfc_d2_subject43_vid_db0cb8aa,train,pos,signal_extraction_baseline,3.6466543735601964,5.019137597786674,-0.41489115685620204,-1.159609867976262,1.907813253820077,39
