sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d1_7-gt_vid-042_ec139516,train,green,single_forehead,29.361125505887546,32.90332400623447,-0.5200201962776856,-24.99908021780161,-8.953420116544361,52
ubfc_d1_7-gt_vid-042_ec139516,train,green,single_left_cheek,1.6367281400240385,2.055547522963519,0.5781478432317688,0.4667965815617488,-9.226755076689514,52
ubfc_d1_7-gt_vid-042_ec139516,train,green,single_right_cheek,1.748461943406325,2.3834722918527014,0.4324415543690226,0.2744561708890475,-3.647482805212154,52
ubfc_d1_7-gt_vid-042_ec139516,train,green,average_fusion,1.9804895841158354,2.8146285781627154,0.25073469008588295,0.5822008573091947,-5.796375113715838,52
ubfc_d1_7-gt_vid-042_ec139516,train,green,quality_weighted_fusion,1.8272267855130708,2.416808082290471,0.40284391906727224,0.4667965815617488,-5.5805444698565605,52
ubfc_d1_7-gt_vid-042_ec139516,train,green,signal_extraction_baseline,1.98055546100323,2.8147995123318132,0.2507348705234299,0.5829792022705078,-5.7963750952865905,52
ubfc_d1_7-gt_vid-042_ec139516,train,chrom,single_forehead,45.96419121668889,46.0293980265376,0.1639181631492037,-45.96419121668889,-11.416083486174537,52
ubfc_d1_7-gt_vid-042_ec139516,train,chrom,single_left_cheek,43.96385053487924,44.29959533992584,-0.307282428129732,-43.96385053487924,-14.614707745550339,52
ubfc_d1_7-gt_vid-042_ec139516,train,chrom,single_right_cheek,46.57968088296744,46.873051235894586,-0.18599487799208914,-46.57968088296744,-12.123467389706956,52
ubfc_d1_7-gt_vid-042_ec139516,train,chrom,average_fusion,45.73338273855356,46.03018296937688,-0.32351763792785493,-45.73338273855356,-11.243027887435272,52
ubfc_d1_7-gt_vid-042_ec139516,train,chrom,quality_weighted_fusion,46.15653162736159,46.42620235429309,-0.2188608571480353,-46.15653162736159,-11.510120657827489,52
ubfc_d1_7-gt_vid-042_ec139516,train,chrom,signal_extraction_baseline,45.732981608464165,46.02978774833507,-0.32351760779635613,-45.732981608464165,-11.243027857714853,52
ubfc_d1_7-gt_vid-042_ec139516,train,pos,single_forehead,1.5194754967322717,1.9178187668080897,0.6252554193313986,0.19752003596379206,1.839720440853524,52
ubfc_d1_7-gt_vid-042_ec139516,train,pos,single_left_cheek,1.636728286743164,2.147068610304686,0.5237327660198782,0.4667967282808744,3.2953539640147005,52
ubfc_d1_7-gt_vid-042_ec139516,train,pos,single_right_cheek,1.5597921518179088,2.0920397589680992,0.5496539011188599,0.389860593355619,2.4707292576478976,52
ubfc_d1_7-gt_vid-042_ec139516,train,pos,average_fusion,1.5591825338510366,2.0917482897982347,0.5519255602013955,0.3513924525334285,4.788010728933723,52
ubfc_d1_7-gt_vid-042_ec139516,train,pos,quality_weighted_fusion,1.5591825338510366,2.0917482897982347,0.5519255602013955,0.3513924525334285,4.881560630800273,52
ubfc_d1_7-gt_vid-042_ec139516,train,pos,signal_extraction_baseline,1.559332480797401,2.091883434251644,0.5519254891590694,0.35216859670785755,4.788010745295282,52
