sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject9_vid_7f8f2cc8,train,green,single_forehead,20.33070775082237,25.839864246275713,0.19064903495161525,0.27463973195929275,-9.226632632847236,38
ubfc_d2_subject9_vid_7f8f2cc8,train,green,single_left_cheek,34.31671845285516,42.18801766183998,-0.3917175128049237,-31.57448919195878,-8.166153318339012,38
ubfc_d2_subject9_vid_7f8f2cc8,train,green,single_right_cheek,30.42613862690173,40.23645598517793,-0.5699526160657562,-28.100039030376234,-8.58814973924228,38
ubfc_d2_subject9_vid_7f8f2cc8,train,green,average_fusion,18.681691420705693,30.473484470924745,-0.418189228705514,-16.255321502685547,-7.264868461530245,38
ubfc_d2_subject9_vid_7f8f2cc8,train,green,quality_weighted_fusion,31.895131864045794,40.872621221845215,-0.4517604752209845,-29.574048393651058,-7.764090228707085,38
ubfc_d2_subject9_vid_7f8f2cc8,train,green,signal_extraction_baseline,18.682133524041426,30.47368057436527,-0.4181892549157438,-16.255911776894017,-7.264868445430377,38
ubfc_d2_subject9_vid_7f8f2cc8,train,chrom,single_forehead,68.26679330123098,68.58731721836664,-0.6899171892831033,-68.26679330123098,-16.855437326946205,38
ubfc_d2_subject9_vid_7f8f2cc8,train,chrom,single_left_cheek,67.63507351122405,67.90333710001431,-0.12760256767232755,-67.63507351122405,-16.113431947126276,38
ubfc_d2_subject9_vid_7f8f2cc8,train,chrom,single_right_cheek,65.79256238435444,66.10851685396759,-0.008048980607325167,-65.79256238435444,-17.774785547072444,38
ubfc_d2_subject9_vid_7f8f2cc8,train,chrom,average_fusion,66.84542655944824,67.23211279532035,-0.5072915218312488,-66.84542655944824,-16.058260705659727,38
ubfc_d2_subject9_vid_7f8f2cc8,train,chrom,quality_weighted_fusion,67.68771743774414,67.96308986317156,-0.48847081927885727,-67.68771743774414,-14.505977781875165,38
ubfc_d2_subject9_vid_7f8f2cc8,train,chrom,signal_extraction_baseline,66.8457058354428,67.23238888546626,-0.5072915460180537,-66.8457058354428,-16.058260607931146,38
ubfc_d2_subject9_vid_7f8f2cc8,train,pos,single_forehead,4.994461661890933,6.152684860009113,0.38917951695298214,-3.3050964757015833,-5.858425185052139,38
ubfc_d2_subject9_vid_7f8f2cc8,train,pos,single_left_cheek,5.047104283383018,6.180503772294402,0.2475898760090507,-2.7260208129882812,-4.5479329341511265,38
ubfc_d2_subject9_vid_7f8f2cc8,train,pos,single_right_cheek,4.9418180365311475,6.089940275764684,0.2374271930902585,-2.6207345661364103,-5.110918058028321,38
ubfc_d2_subject9_vid_7f8f2cc8,train,pos,average_fusion,5.047104484156558,6.163430053528826,0.23848439833612492,-2.7260210137618217,-4.0191321685074,38
ubfc_d2_subject9_vid_7f8f2cc8,train,pos,quality_weighted_fusion,4.994461461117393,6.146533659205689,0.23883286275099555,-2.6733779907226562,-4.081991552248217,38
ubfc_d2_subject9_vid_7f8f2cc8,train,pos,signal_extraction_baseline,5.047631313926296,6.163719982841637,0.23848433711013542,-2.7266956128572164,-4.0191321882631765,38
