sample_id,split,method,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d1_10-gt_vid_3440368f,train,green,3.0702767005333533,3.874516511176002,-0.48030844520125354,-2.6028049175555887,1.4719479450204218,13
ubfc_d1_10-gt_vid_3440368f,train,chrom,18.605658311110275,18.907286991852487,-0.5702772273948973,-18.605658311110275,-8.73273723616907,13
ubfc_d1_10-gt_vid_3440368f,train,pos,3.0702767005333533,3.874516511176002,-0.48030844520125354,-2.6028049175555887,6.198693722626283,13
ubfc_d1_11-gt_vid_97458e9b,train,green,1.3006607280817588,1.5170529065019527,0.7228261509868545,-0.8117160259333213,-3.861708262539624,50
ubfc_d1_11-gt_vid_97458e9b,train,chrom,32.097305320366914,32.3062753475276,-0.31671652936835903,-32.097305320366914,-8.82070417832208,50
ubfc_d1_11-gt_vid_97458e9b,train,pos,1.3395462261286337,1.5424767294327852,0.7317145779411611,-0.89173036919504,2.9305999577692514,50
ubfc_d1_12-gt_vid-040_eddd5a70,test,green,10.40778264459574,17.611451585061737,0.7552970544913813,-9.909507751464844,-3.344616153639812,53
ubfc_d1_12-gt_vid-040_eddd5a70,test,chrom,47.84080800470316,48.10846645854727,-0.31743996612946757,-47.84080800470316,-11.560582744562689,53
ubfc_d1_12-gt_vid-040_eddd5a70,test,pos,1.7701820517485995,2.114188333073158,0.5291670189262248,-0.6248325851728331,2.5484462235658967,53
ubfc_d1_5-gt_vid-049_a22d895e,train,green,3.5400736773455583,9.38528650138608,-0.2447977880722919,-2.5605877063892506,-6.756138596479966,54
ubfc_d1_5-gt_vid-049_a22d895e,train,chrom,28.56523068745931,29.37508342996004,-0.17242962464244532,-28.56523068745931,-8.714267553808497,54
ubfc_d1_5-gt_vid-049_a22d895e,train,pos,0.9485658716272425,1.5074622683859402,0.8870844203908865,-0.18979404590747975,3.1101258474388365,54
ubfc_d1_6-gt_vid-045_d5d05981,train,green,2.888085419276975,4.318671288804481,0.8380289809803836,0.9395697251805719,-3.847921753954617,53
ubfc_d1_6-gt_vid-045_d5d05981,train,chrom,33.5571564728359,35.67791834963212,-0.913690211151832,-33.5571564728359,-13.994826170964483,53
ubfc_d1_6-gt_vid-045_d5d05981,train,pos,3.115262157512161,4.656444245040774,0.8169702738825723,1.3547384873876032,-2.661781833947897,53
