sample_id,split,method,strategy,mae_bpm,rmse_bpm,pearson_r,bias_bpm,snr_db,n_windows
ubfc_d2_subject22_vid_6705444e,train,green,single_forehead,8.9935168216103,14.652460134140295,0.8880455458146191,-8.619428333483244,-6.181486453357122,38
ubfc_d2_subject22_vid_6705444e,train,green,single_left_cheek,2.431624964663857,3.1761435824669575,0.8147311075566885,0.3757239893863076,-0.4507415057870864,38
ubfc_d2_subject22_vid_6705444e,train,green,single_right_cheek,2.4869212100380347,3.2254293513182226,0.805395017612934,0.3757239893863076,-1.177114570545738,38
ubfc_d2_subject22_vid_6705444e,train,green,average_fusion,2.2292345950478003,2.8856503574030605,0.8433172148168413,0.11270804154245477,-0.8991113110949334,38
ubfc_d2_subject22_vid_6705444e,train,green,quality_weighted_fusion,2.434317940159848,3.1769908892667753,0.8095629257917709,0.3231207195081209,-0.032749159889606534,38
ubfc_d2_subject22_vid_6705444e,train,green,signal_extraction_baseline,2.229215722335012,2.885655120873761,0.8433171339855293,0.11283533196700246,-0.8991113070162151,38
ubfc_d2_subject22_vid_6705444e,train,chrom,single_forehead,51.12283857245194,51.59353985578759,-0.4748373665864774,-51.12283857245194,-11.5613688599352,38
ubfc_d2_subject22_vid_6705444e,train,chrom,single_left_cheek,47.48746159202174,50.703544799313725,-0.20059922978708,-47.33540655437269,-11.443583620895074,38
ubfc_d2_subject22_vid_6705444e,train,chrom,single_right_cheek,57.067004153603,57.41058894973428,-0.4357605194639517,-57.067004153603,-11.492305814355452,38
ubfc_d2_subject22_vid_6705444e,train,chrom,average_fusion,54.173826719585215,54.408066815974124,0.3154597516511253,-54.173826719585215,-11.479389716447523,38
ubfc_d2_subject22_vid_6705444e,train,chrom,quality_weighted_fusion,53.96341384084601,54.177154797810466,0.4212685398534277,-53.96341384084601,-11.477056212758992,38
ubfc_d2_subject22_vid_6705444e,train,chrom,signal_extraction_baseline,54.17376769216437,54.40800811282302,0.31545953148005407,-54.17376769216437,-11.479389719707957,38
ubfc_d2_subject22_vid_6705444e,train,pos,single_forehead,2.3814028689735816,3.1603002849753343,0.8086713264333452,0.3231207195081209,-1.9394827024469283,38
ubfc_d2_subject22_vid_6705444e,train,pos,single_left_cheek,2.3318043758994653,3.144575370440256,0.8115361634186062,0.27051744962993424,-2.4645733897887805,38
ubfc_d2_subject22_vid_6705444e,train,pos,single_right_cheek,2.5451087951660156,3.4000810100113577,0.7744334317285472,0.3757237886127673,-2.361415062276761,38
ubfc_d2_subject22_vid_6705444e,train,pos,average_fusion,2.54218894556949,3.3992226047229273,0.7758194359838017,0.4283270584909539,-1.372542866523818,38
ubfc_d2_subject22_vid_6705444e,train,pos,quality_weighted_fusion,2.54218894556949,3.3992226047229273,0.7758194359838017,0.4283270584909539,-1.459969483363977,38
ubfc_d2_subject22_vid_6705444e,train,pos,signal_extraction_baseline,2.5421768991570723,3.3992394466545273,0.7758192113150493,0.42845515200966283,-1.3725428657620278,38
